what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wb.core.lib,1.3.0.r37x201202052311,"org.eclipse.wb.core.lib",1352032124515
started,bundle,org.eclipse.wb.discovery.core,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.core",1352032124528
started,bundle,org.eclipse.wb.discovery.ui,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.ui",1352032124534
started,bundle,com.android.ide.eclipse.adt,20.0.3.v201208082019-427395,"com.android.ide.eclipse.adt",1352032124535
started,bundle,com.android.ide.eclipse.base,20.0.3.v201208082019-427395,"com.android.ide.eclipse.base",1352032124535
os,sysinfo,,,"win32",1352032124538
arch,sysinfo,,,"x86",1352032124538
ws,sysinfo,,,"win32",1352032124538
locale,sysinfo,,,"ru_RU",1352032124538
processors,sysinfo,,,"2",1352032124538
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1352032124538
java.runtime.version,sysinfo,,,"1.7.0_07-b10",1352032124538
java.specification.name,sysinfo,,,"Java Platform API Specification",1352032124538
java.specification.vendor,sysinfo,,,"Oracle Corporation",1352032124538
java.specification.version,sysinfo,,,"1.7",1352032124538
java.vendor,sysinfo,,,"Oracle Corporation",1352032124538
java.version,sysinfo,,,"1.7.0_07",1352032124538
java.vm.info,sysinfo,,,"mixed mode, sharing",1352032124538
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1352032124538
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1352032124538
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1352032124538
java.vm.specification.version,sysinfo,,,"1.7",1352032124538
java.vm.vendor,sysinfo,,,"Oracle Corporation",1352032124538
java.vm.version,sysinfo,,,"23.3-b01",1352032124538
started,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1352032124617
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1352032150658
started,bundle,org.eclipse.wst.sse.core,1.1.602.v201112071516,"org.eclipse.wst.sse.core",1352032155380
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1352032163432
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1352032164083
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1352032164286
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1352032164575
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit",1352032165253
started,bundle,org.eclipse.mylyn.java.ui,3.8.2.v20120916-1200,"org.eclipse.mylyn.java.ui",1352032170276
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1352032176264
